date,value
Jan 2000,64.56
Feb 2000,68.87
Mar 2000,67
Apr 2000,55.19
May 2000,48.31
Jun 2000,36.31
Jul 2000,30.12
Aug 2000,41.5
Sep 2000,38.44
Oct 2000,36.62
Nov 2000,24.69
Dec 2000,15.56
Jan 2001,17.31
Feb 2001,10.19
Mar 2001,10.23
Apr 2001,15.78
May 2001,16.69
Jun 2001,14.15
Jul 2001,12.49
Aug 2001,8.94
Sep 2001,5.97
Oct 2001,6.98
Nov 2001,11.32
Dec 2001,10.82
Jan 2002,14.19
Feb 2002,14.1
Mar 2002,14.3
Apr 2002,16.69
May 2002,18.23
Jun 2002,16.25
Jul 2002,14.45
Aug 2002,14.94
Sep 2002,15.93
Oct 2002,19.36
Nov 2002,23.35
Dec 2002,18.89
Jan 2003,21.85
Feb 2003,22.01
Mar 2003,26.03
Apr 2003,28.69
May 2003,35.89
Jun 2003,36.32
Jul 2003,41.64
Aug 2003,46.32
Sep 2003,48.43
Oct 2003,54.43
Nov 2003,53.97
Dec 2003,52.62
Jan 2004,50.4
Feb 2004,43.01
Mar 2004,43.28
Apr 2004,43.6
May 2004,48.5
Jun 2004,54.4
Jul 2004,38.92
Aug 2004,38.14
Sep 2004,40.86
Oct 2004,34.13
Nov 2004,39.68
Dec 2004,44.29
Jan 2005,43.22
Feb 2005,35.18
Mar 2005,34.27
Apr 2005,32.36
May 2005,35.51
Jun 2005,33.09
Jul 2005,45.15
Aug 2005,42.7
Sep 2005,45.3
Oct 2005,39.86
Nov 2005,48.46
Dec 2005,47.15
Jan 2006,44.82
Feb 2006,37.44
Mar 2006,36.53
Apr 2006,35.21
May 2006,34.61
Jun 2006,38.68
Jul 2006,26.89
Aug 2006,30.83
Sep 2006,32.12
Oct 2006,38.09
Nov 2006,40.34
Dec 2006,39.46
Jan 2007,37.67
Feb 2007,39.14
Mar 2007,39.79
Apr 2007,61.33
May 2007,69.14
Jun 2007,68.41
Jul 2007,78.54
Aug 2007,79.91
Sep 2007,93.15
Oct 2007,89.15
Nov 2007,90.56
Dec 2007,92.64
Jan 2008,77.7
Feb 2008,64.47
Mar 2008,71.3
Apr 2008,78.63
May 2008,81.62
Jun 2008,73.33
Jul 2008,76.34
Aug 2008,80.81
Sep 2008,72.76
Oct 2008,57.24
Nov 2008,42.7
Dec 2008,51.28
Jan 2009,58.82
Feb 2009,64.79
Mar 2009,73.44
Apr 2009,80.52
May 2009,77.99
Jun 2009,83.66
Jul 2009,85.76
Aug 2009,81.19
Sep 2009,93.36
Oct 2009,118.81
Nov 2009,135.91
Dec 2009,134.52
Jan 2010,125.41
Feb 2010,118.4
Mar 2010,128.82
